tile_id,zone,row,col,tile_area_m2,street_len_m,bldg_area_m2,bldg_count,street_km_per_km2,bldg_coverage
east_01_15,east,15,1,250000.0,1737.3908566823284,8675.92636615997,15,6.949563426729314,0.034703705464639883
east_01_16,east,16,1,250000.0,3370.170688334094,3813.8853289677636,6,13.480682753336376,0.015255541315871054
east_01_17,east,17,1,106450.63165947795,967.7202836714499,12220.876400650297,61,9.09078949166844,0.1148032304753562
east_02_00,east,0,2,141146.99054602534,304.54980601413575,852.4840138378418,1,2.157678352446543,0.0060396896210115295
east_02_01,east,1,2,250000.0,4868.547693371124,17146.66013042379,34,19.474190773484498,0.06858664052169515
east_02_02,east,2,2,250000.0,3900.649690705765,3185.4671830868347,23,15.60259876282306,0.012741868732347339
east_02_03,east,3,2,250000.0,4338.403885587022,9184.447094000441,23,17.353615542348088,0.036737788376001765
east_02_04,east,4,2,250000.0,7024.559409240585,9688.619555722418,17,28.09823763696234,0.038754478222889674
east_02_05,east,5,2,250000.0,6910.71941474398,42927.31533108502,32,27.642877658975923,0.17170926132434006
east_02_06,east,6,2,250000.0,5453.921739296753,52017.590949150464,32,21.815686957187012,0.20807036379660185
east_02_07,east,7,2,250000.0,5523.571704077706,65154.49252961856,52,22.094286816310824,0.26061797011847426
east_02_08,east,8,2,250000.0,1768.5882217122407,78019.42995784087,92,7.074352886848963,0.31207771983136345
east_02_09,east,9,2,250000.0,7099.939101585623,78933.51631289827,56,28.39975640634249,0.3157340652515931
east_02_10,east,10,2,250000.0,4386.668466135874,121844.34126433998,43,17.546673864543497,0.4873773650573599
east_02_11,east,11,2,250000.0,4015.606626072671,55310.64687596947,54,16.062426504290684,0.22124258750387787
east_02_12,east,12,2,250000.0,6687.231224181573,65602.65607966663,44,26.748924896726294,0.2624106243186665
east_02_13,east,13,2,250000.0,3689.4704557211226,38404.92253608223,88,14.75788182288449,0.1536196901443289
east_02_14,east,14,2,250000.0,4024.86229919263,27628.250872535322,45,16.09944919677052,0.11051300349014129
east_02_15,east,15,2,250000.0,3061.4755880333687,11126.506965717492,26,12.245902352133475,0.04450602786286997
east_02_16,east,16,2,250000.0,4088.3755582890726,41989.38523511919,30,16.35350223315629,0.16795754094047677
east_02_17,east,17,2,106450.63165947795,585.1630183542861,4080.743024299083,4,5.497036600272587,0.038334606011102515
east_03_00,east,0,3,141146.99054602534,3609.1616424175163,10691.544635040846,19,25.570234465896302,0.07574759188049807
east_03_01,east,1,3,250000.0,6108.595891250206,27277.911060655682,23,24.43438356500082,0.10911164424262274
east_03_02,east,2,3,250000.0,4608.285836517438,20673.7689959534,42,18.433143346069752,0.0826950759838136
east_03_03,east,3,3,250000.0,7751.067313633237,17820.54691288673,24,31.004269254532947,0.07128218765154692
east_03_04,east,4,3,250000.0,8298.773463219864,22614.606642159168,18,33.19509385287946,0.09045842656863667
east_03_05,east,5,3,250000.0,7273.495152046391,16139.76002528123,22,29.093980608185564,0.06455904010112493
east_03_06,east,6,3,250000.0,5007.808719967166,82367.40443430429,37,20.031234879868666,0.32946961773721717
east_03_07,east,7,3,250000.0,6623.060212572136,57816.20164251769,38,26.492240850288546,0.23126480657007076
east_03_08,east,8,3,250000.0,4260.233772592801,37428.8372428744,27,17.040935090371203,0.14971534897149757
east_03_09,east,9,3,250000.0,7658.318602433925,51138.39414867322,39,30.633274409735698,0.2045535765946929
east_03_10,east,10,3,250000.0,5590.805499953225,71622.36274793788,51,22.3632219998129,0.2864894509917515
east_03_11,east,11,3,250000.0,4577.672684966629,64477.19704991868,182,18.310690739866516,0.2579087881996747
east_03_12,east,12,3,250000.0,6059.592368063248,45348.420765667855,108,24.23836947225299,0.18139368306267142
east_03_13,east,13,3,250000.0,4082.5649220291966,28208.497978481737,100,16.330259688116787,0.11283399191392694
east_03_14,east,14,3,250000.0,5832.786723359174,31238.41101096844,72,23.331146893436696,0.12495364404387377
east_03_15,east,15,3,250000.0,4091.361138320144,15907.468015052676,20,16.365444553280575,0.0636298720602107
east_03_16,east,16,3,250000.0,4908.2865517996215,38472.977745276265,76,19.633146207198486,0.15389191098110505
east_03_17,east,17,3,106450.63165947795,1943.5146790839183,1217.970712643552,5,18.257427398843202,0.011441648524357145
